Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities_Passangers,Fatalities Crew,Ground,Summary,Year
1999-02-25,12:30,"Genoa, Italy",Minerva Airlines,1553,Cagliar - Genoa,Dornier 328-110,D-CPRR,3054,31,27,4,4,3,1,0,"The aircraft touched down briefly, overran the runway and crashed into the sea in strong winds.",1999
1999-03-07,08:23,"New Delhi, India",Military - Indian Air Force,,Gwalior -  Pokhran - New Delhi,Antonov AN-32 Transport,K2673,108,19,15,4,19,15,4,3,"While approaching New Delhi Airport, the plane suddenly veered off its landing path and crashed into a building site and careened into a water tank reservoir. A witness said the plane came in very low and crashed, exploded and burned after severing power lines. A heavy layer of fog covered the area prior to the crash. The crash site was 1.5 miles from the airport.",1999
1999-03-18,16:05,"Near Tame, Colombia",ALIANSA Colombia,,Cucuta - El Yopal,Douglas DC-3C (C-47A-DK),HK-337,11831,8,5,3,8,5,3,8,Crashed into Huirotico Hill. Wreckage found 4 days later.,1999
1999-03-19,09:45,"Davis Inlet, Newfoundland, Canada",Provincial Airlines,960,Goose Bay - Davis Inlet,de Havilland Canada DHC-6 Twin Otter 300,C-FWLQ,724,2,0,2,1,0,1,0,"On approach, the crew of the cargo plane descended to MDA and initiated a go-around after the runway was not seen.  On the second approach the captain descended below MDA and  the aircraft struck the ground in controlled flight 2 nm short of the runway. The aircraft was destroyed. The captain decided to descend below the minimum descent altitude without the required visual references. After descending below MDA, both pilots were preoccupied with acquiring and maintaining visual contact with the ground and did not adequately monitor the flight instruments; thus, the aircraft flew into the ice.",1999
1999-04-07,11:30,"Ribeirao Preto, Brazil",Manacá Táxi Aéreo,,Training,Learjet 24D,PT-LEM,24-270,5,0,5,5,0,5,0,The pilot-in-command lost control during touch-and-go landing and crashed.,1999
1999-04-07,00:33,"Near Ceyhan, Turkey",Turkish Airlines (THY),5904,Adana - Ciddah,Boeing 737-4Q8,TC-JEP,25378/2732,6,0,6,6,0,6,0,The aircraft departed Adana to pick up Turkish pilgrims. The plane crashed 9 minutes after taking off in poor weather conditions. Severe weather probably contributed to the cause of the accident. Pitot anti-icing system was probably not activated because of missed checklist items. The crew failed to recognize the cause of erratic airspeed indications and failed to use other cockpit indications for control and recovery of the aircraft.,1999
1999-04-08,11:35,"Near Malaga, Colombia",Aerotaca,,Bucaramanga - Malaga,de Havilland Canada DHC-6 Twin Otter 300,HK-2760,777,5,3,2,5,3,2,0,"The aircraft crashed into La Caida Hill in fog, 10 minutes from its destination. The aircraft was off course.",1999
1999-04-15,16:05,"Shanghi, China",Korean Air,6316,"Shanghi, China - Seoul, Korea",McDonnell Douglas MD-11,HL-7373,48409/490,3,0,3,3,0,3,0,"Shortly after taking off  and after getting into a disagreement with the first officer about the planes altitude, the captain pushed down on the control column and the plane entered a rapid descent. Both crew members tried to recover from the dive but were unable to gain control and the plane crashed into the ground and was destroyed.",1999
1999-05-08,19:21,"Off Port Vila, Vanuatu",Vanair,,Espírita Santo - Port Vila,de Havilland Canada DHC-6 Twin Otter 300,YJ-RV9,694,12,11,1,7,6,1,0,Crashed into the ocean during a heavy rain. It is reported that the flight had appeared to be proceeding normally until impact with the water.,1999
1999-05-24,13:15,"Kuching, Malaysia",Military - Malaysian Air Force,,Training,de Havilland Canada DHC-4A,M21-05,270,5,0,5,5,0,5,0,Crashed while attempting to take off.,1999
1999-05-29,14:30,"Ol Kiombo, Kenya",Malindi Air Services,,Ol Kiombo - Mara Sika AS,Let 410UVP-E,5Y-LET,912620,2,0,2,2,0,2,0,Failed to gain altitude while taking off and crashed. The plane was on a positioning flight to pick up passengers.,1999
1999-06-01,23:50,"Little Rock, Arkansas",American Airlines,1420,Dallas-Fort Worth - Little Rock,McDonnell Douglas MD-82,N215AA,49163/1111,145,139,6,11,10,1,0,"The plane was on a flight from Dallas/Fort Worth, Texas to Little Rock, Arkansas. While attempting to land at Little Rock Airport, the flight encountered heavy thunderstorms, rain and strong winds. The aircraft landed fast and hard, skidded off the end of the runway and struck a landing light tower, breaking into three parts and bursting into flames. Crew's decision to continue the approach despite severe thunderstorms in the area and crosswinds that  exceeded American Airlines' guidelines. The crew did not arm the automatic spoiler system before landing or manually deploy the spoilers after touchdown. Fatigue, the crew had been awake for nearly 16 hours.",1999
1999-06-03,,"Near Khartoum, Sudan",Military - Sudan Air Force,,Kassala - Khartoum,Antonov 32,,,50,44,6,50,44,6,0,,1999
1999-06-09,,"Coron, Philippines",Pacific Airways,,,Britten-Norman BN-2A-21 Islander,RP-C471,473,1,0,1,1,0,1,0,,1999
1999-06-09,10:50,"Juneau, Alaska",Air Taxi - Coastal Helicopters Inc.,,Sightseeing,Eurocopter AS-350BA,N6099S,2810,7,6,1,7,6,1,0,"The sightseeing helicopter impacted a glacier.The pilot's continued VFR flight into adverse weather, spatial disorientation, and failure to maintain aircraft control. Factors associated with the accident were pressure by the company to continue flights in marginal weather, and the ""flat"" lighting leading to whiteout conditions.",1999
1999-06-17,08:52,"Goroka, Papua New Guinea",Airlink,,Nadzab - Goroka,Embraer 110P2 Bandeirante,P2-ALX,110210,17,15,2,17,15,2,0,"The aircraft was 19 miles or six minutes out of Goroka when it crashed into a hillside. At the time of the crash, the pilot was in routine communication with Goroka and gave no indications of any problems.",1999
1999-06-25,13:20,"Long Haul Lake, Manatoba, Canada",Blue Water Aviation Services,,Test flight,de Havilland Canada DHC-3 Otter,C-FIFP,73,2,0,2,1,0,1,0,"During the takeoff the engine failed and the plane crashed into trees. The most likely accident scenario during the second take-off is that water contamination migrated from the center fuel tank to the engine, resulting in a loss of engine power.",1999
1999-07-01,,"Luzamba, Angola",Savanair,,Huambo - Luanda,Antonov 12B,TN-AFR,8345502,5,0,5,1,0,1,0,The cargo plane was shot down by UNITA rebels.,1999
1999-07-02,14:27,"Sittwe, Myanmar",Myanmar Airways,,Yangon - Sittwe,Fokker F-27 Friendship 600,XY-AEO,10594,8,4,4,8,4,4,0,"The aircraft, carrying freight, flew into the side of a fog covered ridge, 8 km E of Sittwe, while on approach to Sittwe.",1999
1999-07-04,12:05,"Villavicencio, Colombia",LANC Colombia,,Villavicencio - Mitu,Douglas DC-6A,HK-1776,45499/1011,18,12,6,5,5,0,0,The aircraft developed engine trouble shortly after taking off and returned to the airport. The plane made a steep descent and struck an embankment of the Guatiquia River.,1999
1999-07-07,19:51,"Near Kathmandu, Nepal",Lufthansa Cargo Airlines,8533,Kathmandu - New Delhi,Boeing 727-243F,VT-LCI,22168/1770,5,0,5,5,0,5,0,"The cargo plane crashed into the Champadevi mountains at an altitude of 7,500 ft. The plane was flying too low.  Failure to the adhere to Standard Instrument Departure Procedure by the crew and failure of the controllers to warn the flight.",1999
1999-07-09,04:30,"Toluca , Mexico",Aero Jet Express,,Los Mochis - Toluca,Hawker Siddeley HS-125,XA-TAL,25064,4,2,2,4,2,2,0,"While on approach, the cargo plane hit a wall, 400 meters short of the runway.",1999
1999-07-16,21:41,"Off Martha's Vineyard, Massachusetts",Private,-,"Fairfield, N.J. - Martha's Vineyard, MA",Piper PA-32-R301 Saratoga II HP,N9253N,3213100,3,2,1,3,2,1,0,"The aircraft, piloted by John F. Kennedy Jr., 38, crashed into the sea approximately 34 miles west of Martha's Vineyard while en route from Fairfield, New Jersey to Martha's Vineyard, Massachusetts. Killed along with Kennedy were his wife Carolyn and her sister Lauren Bessette. Kennedy's failure to maintain control of the airplane during a descent over water at night, which was a result of spatial disorientation. Contributing factors in the accident were haze, and the dark night.",1999
1999-07-23,11:25,"Tokyo, Japan",All Nippon Airways,61,"Tokyo, Japan - Chitose, Japan",Boeing B-747,JA8966,27442/1066,517,503,14,1,0,1,0,"Two minutes after taking off from Haneda Airport, a man carrying a knife forced a flight attendant to take him in the cockpit of the plane.  A fan of computer flight-simulation games, he stated he just wanted to fly a real plane.  After forcing the co-pilot out of the cockpit he ordered the captain to fly to a U.S. Air Force base in western Tokyo. When he refused, he stabbed the captain and seized the controls. After a sudden drop in altitude, the co-pilot and an off duty crew member entered the cockpit and overpowered the hijacker.  A one point the plane plunged to within 984 feet of the ground. The plane ultimately  landed safely but the captain died of his injuries.",1999
1999-07-23,03:30,"Near Orito, Colombia",Military - U.S. Army,,,de Havilland Canada DHC-7-102,N5382W,95,7,0,7,7,0,7,0,"The plane crashed into Patascoy mountain at 7,000 ft. on a reconnaissance flight over drug producing areas.",1999
1999-07-24,05:35,"Nasevou Village, Fiji",Air Fiji,121,Nausori - Nadi,Embraer 110P1 Bandeirante,DQ-AFN,110416,17,15,2,17,15,2,0,"The plane crashed into a mountainside at an altitude of about 1,800 feet about 15 minutes after taking off from Nausori Airport bound for Nadi International Airport. The plane was observed by witnesses flying low prior to the crash. The wreckage indicated the aircraft descended until the right wing hit a line of trees at the 1,300 ft. elevation. It was determined the captain had insufficient sleep prior to the flight and had consumed an  excessive amount  antihistamine both of which may have influenced his performance. Published operational standards by Air Fiji, inadequate for the particular type of aircraft.",1999
1999-08-07,12:00,"Santo Antao, Cape Verde Islands",TACV-Cabo Verde Airlines,5002,Sao Vicente - Santo Antao,Dornier 228-201,D4-CBC,8091,18,16,2,18,16,2,0,"The aircraft, which was chartered from the Cape Verde Coast Guard, crashed into a cliff near Ponta do Sol airfield in the Cape Verde Islands in fog and rain. The plane was returning to the island of Sao Vicente where it originally departed  due to poor weather conditions over the destination city. The pilot possibly lost visibility due to the fog and rain and crashed into a cliff in Santo Antao.",1999
1999-08-22,18:45,"Hong Kong, China",China Airlines (Taiwan),642,Bangkok - Hong Kong,McDonnell Douglas MD-11,B-150,48468/518,315,300,15,3,3,0,0,"While making a landing in strong winds and rain, the pilot-in-command disconnected the autopilot but left the autothrottle engaged. The aircraft, with a weight close to the maximum landing weight permitted, stabilized slightly low on the glideslope. An attempt was made to flare but the aircraft landed hard on its right landing gear and the No.3 engine touched the runway. The right main landing gear and right wing separated. The MD-11 then inverted and skidded off the runway in flames. Probable Cause: The commander's unability to arrest the high rate of descent existing at 50 ft. RA. Contributory Causes:  The commander's failure to appreciate the combination of a reducing airspeed, increasing rate of descent, and with the thrust decreasing to flight idle. The commander's failure to apply power to counteract the high rate of descent prior to touchdown. Probable variations in wind direction and speed below 50 ft RA may have resulted in a momentary loss of headwind component and, in combination with the early retardation of the thrust levers, and at a weight only just below the maximum landing weight, led to a 20 kt loss in indicated airspeed just prior to touchdown. A possible contributory cause may have been a reduction in peripheral vision as the aircraft entered the area of the landing flare, resulting in the commander not appreciating the high rate of descent prior to touchdown.",1999
1999-08-24,12:36,"Hualian, Taiwan",Uni Air,873,Taipei - Hualian,McDonnell Douglas MD-90-30,B-17912,53536/2160,96,90,6,1,1,0,0,"A fire in the front portion of the cabin, in the overhead luggage compartment, caused thick black smoke to accumulate in the cabin.  Accidental ignition of gas taken aboard in 2 bleach and softner bottles, stored in a overhead locker.",1999
1999-08-26,10:54,"Turtkul, Uzbekistan",Uzbekistan Airways,,Tashkent - Turtkul,Yakovlev YAK-40,UK-87848,9331730,33,29,4,2,2,0,0,"The aircraft struck power lines 2,000m past the end of the runway after a second attempted go-around.",1999
1999-08-31,20:55,"Buenos Aires, Argentina","LAPA, Lineas Aereas Privadas Argentinas",3142,Buenos Aires - Cordoba,Boeing B-737-204C,LV-WRZ,20389/251,103,98,5,63,60,3,2,"While attempting to take off from Jorge Newberry airport, the crew aborted takeoff, overran the runway, skidded across a service road and crashed into several cars and into a golf course, bursting into flames.  The crew forgot to extend the wing flaps to initiate take-off, and ignored the alarm that advised them of the error in configuration for take-off. The pilots did not maintain a sterile cockpit, sharing a cigarette and socializing with a flight attendant.",1999
1999-09-05,10:30,"Near Kathmandu, Nepal",Necon Air,128,Pokhara - Kathmandu,Hawker Siddeley HS-748-501 Super 2B,9N-AEG,1806,15,10,5,15,10,5,0," While on approach to Tribhuvan International Airport, the aircraft struck a telecommunication tower with its left wing and crashed onto slopes of a wooded area, 6 miles southwest of the airport.",1999
1999-09-14,23:47,"Girona, Spain",Britannia Airways,226A,"Cardiff, Wales, UK - Girona, Spain",Boeing 757-204,G-BYAG,26965/517,245,236,9,1,1,0,0,"The aircraft touched down hard, bounced, and made a second heavier touchdown causing substantial damage to the nosewheel and its supports. The Boeing 757 left the runway at high speed, approximately 1,000m from the second touchdown point. It then ran 343m across flat grassland beside the runway, before going diagonally over a substantial earth mound adjacent to the airport boundary, becoming semi airborne as a result. Beyond the mound it hit a number of medium sized trees and the right engine struck the boundary fence. The aircraft then passed through the fence, re-landed in a field and both main landing gears collapsed. It finally stopped after a slide across the field. One passenger, who had been admitted to hospital with apparently minor injuries and discharged the following day, died five days later from unsuspected internal injuries.",1999
1999-09-14,,"Bucharest, Romania",Greek Government,3838,Athens - Bucharest,Dassault Falcon 900B,SX-ECH,026,13,10,3,7,7,0,0,Experienced pitch oscillations during descent and crashed while landing. Inadequate risk assessment of the pitch feel malfunctions. Overriding of the A/P on the pitch channel by the crew.,1999
1999-09-14,21:20,"Belelm, Brazil",Norte Jet Táxi Aéreo,,Belem - Monte Dourado,Embraer 110 Bandeirante,PT-ODK,110002,2,0,2,2,0,2,0,The cargo plane crashed while on approach.,1999
1999-09-17,,"Mt. Hidalgo, Mexico",Military - Mexican Air Force,,Test flight,Lockheed C-130A Hercules,3610,3217,5,0,5,5,0,5,0,The plane crashed just after maintenance personell replaced parts and were testing the plane.,1999
1999-10-02,19:15,"Dhahran, Saudi Arabia",Aramco Associated Company,,,Bell 214ST helicopter,N704H,28108,20,18,2,12,10,2,0,"The helicopter, crashed into the water shortly after liftoff from the 88 foot tall helideck located 35 miles offshore. The landing was soft and gentle but the helicopter rolled over inverted in the water.",1999
1999-10-24,,"San Carlos, Venezuela",Military - Venezuelan Army,,La Carlota - Acarigua,Arava 201,EV-8012,062,6,3,3,6,3,3,0,Crashed during a rainstorm.,1999
1999-10-25,11:20,"Aberdeen, South Dakota",Private charter,,"Orlando, FL - Dallas, TX",Gates Learjet 35,N47BA,060,6,4,2,6,4,2,0,"The plane scheduled to fly from Orlando, Florida to Dallas, Texas flew out of control for 1,500 miles before nose-diving into a grassy farm field in South Dakota, after running out of fuel. The plane's altitude varied between 22,000 and 51,000 feet during the flight. A possible pressurization failure, as indicated by frosted windows, observed by fighter jet pilots trailing the plane, may have killed all aboard. Pro golfer, Payne Stewart, 42, killed. Incapacitation of the flight crewmembers as a result of their failure to receive supplemental oxygen following a loss of cabin pressurization, for undetermined reasons. Possible contributing factor: The emergency checklist was written in such a way that it did not direct the crew first don their face masks.",1999
1999-10-31,01:52,"Off Nantucket Island, Massachusetts",EgyptAir,990,New York City - Cairo,Boeing B-767-366ER,SU-GAP,24542/282,217,202,15,217,202,15,0,"The plane took off from JFK at 1:19 a.m. bound for Cairo, Egypt. Thirty-three minutes later, after attaining an altitude of 33,000 feet, it was observed on radar in an extremely rapid descent. The aircraft was observed in a 66 degree dive at 483 knots. The descent continued to 16,700 feet after which the aircraft climbed to 24,000 ft.   After that, the plane began a second dive and broke up at around 10,000 ft. crashing into the Atlantic Ocean, 60 miles southeast of Nantucket Island.  The aircraft was named Thutmosis III. The accident was caused by the relief first officer's flight control inputs which caused the airplane's departure from normal cruise flight and subsequent impact with the Atlantic Ocean. The reason for the first officer's actions were not determined by the NTSB. One could conclude the actions were deliberate in an attempt to commit suicide.",1999
1999-11-09,19:03,"Near Uruapan, Mexico",TAESA,725,Uruapan - Mexico City,McDonnell Douglas DC-9-31,XA-TKN,47418/570,18,13,5,18,13,5,0,"The plane was on a flight from Tujuana to Mexico City, with stops at Guadalajara and Uruapan. After reaching Uruapan, seventy-eight passengers deplaned.One minute after taking off from Uruapan, the crew declared an emergency without saying what was wrong. A few minutes later the plane went into a steep dive and crashed in a mountainous area 3.3 miles south of the airport. Some witnesses stated the plane was on fire before it hit the ground. TAESA's operation license was suspended due to the incident, which prompted inquiries regarding the airline's safety and maintenance procedures.",1999
1999-11-12,11:13,"Near Pristina, Kosovo",Si Fly - U.N. charter,3275,Rome - Pristina,Aerospatiale Alenia ATR-42,F-OHFV,12,24,21,3,24,21,3,0,"The plane was on a flight from Rome, Italy to Pristina, Kosovo with a stop at Tirana, Albania. The plane disappeared from radar and crashed about 10 miles north of Pristina into a hill in poor weather. The plane was a U.N. charter flight on a routine humanitarian mission to distribute food. Lack of procedural discipline and vigilance during flight in mountainous terrain. Improper tracking by the military ATC. Crew fatigue.  Inoperable GPWS.",1999
1999-12-05,05:12,"Moscow, Russia",Tashkent Aircraft Production Corporation,,"Moscow, Russia - Tashkent, Uzbekistan",Ilyushin 114T,UK-91004,1083800305,7,0,7,5,0,5,0,"The cargo plane was taxiing for takeoff when a gust of wind caused the rudder to become fully deflected to the left. The captain continued the takeoff despite suggestions from the crew to return to the gate. Shortly after lifting off the runway the plane yawed to the left and collided with the airport perimeter wall, bursting into flames.",1999
1999-12-07,09:25,"Near Bayombang, Philippines",Asian Spirit,,Manila - Cauayan,Let 410UVP,RP-C-3883,851429,17,15,2,17,15,2,0,The aircraft apparently flew into a mountainside towards the end of a flight from Manila to Cauayan in rain and poor visibility.,1999
1999-12-10,02:50,"Kuwait City, Kuwait",Military - U.S. Air Force,,Kuwait  IA - Kuwait-Ahmed Al-jaber AB,Lockheed C-130H,63-7854,3924,94,86,8,3,3,0,0,"Crashed  2,900 ft. short of the runway causing extensive damage. The pilot was unable to get the aircraft airborne following the impact. Weather was below minima. Crew failed to monitor their instruments, became spatially disoriented and failed to arrest a high rate of descent. Pilot was inexperienced.",1999
1999-12-11,09:20,"Sao Jorge, Azores (Portugal)",SATA,530,Ponta Delgada - Horta,British Aerospace APT,CS-TGM,2030,35,31,4,35,31,4,0,"The plane crashed 30 minutes after leaving Ponta Delgada, Sao Miguel Island bound for Horta, Faial Island in the Azores. The plane lost contact with the Horta control tower 10 minutes before it was scheduled to land.  Witnesses said the plane was flying very low before they saw the plane crash into Mount Esperanca on the island of Sao Jorge.",1999
1999-12-21,09:40,"Guatemala City, Guatemala",Cubana de Aviacon,261,Havana - Guatemala City,McDonnell Douglas DC-10-30,F-GTDI,46890/77,314,296,18,16,8,8,2,"While attempting to land at La Aurora International Airport, the aircraft overshot the runway, rolled down an embankment and crashed into houses in the La Libertad section of the city. Witnesses say the plane was unable to stop after it began its landing too far down the runway. The crew failed to initiate a go-around after overshooting on a wet runway with insufficient deceleration to make a safe stop. Leased from AOM.",1999
1999-12-22,18:38,"Great Hallingbury, United Kingdom",Korean Air,8509,"London, England - Milan, Italy",Boeing 747-2B5F,HL-7451,22480/448,4,0,4,4,0,4,0,"Shortly after taking off the ADI comparator alarm sounded three times. Shortly afterwards, the warning sounded a further two times. As the captain initiated a procedural turn to the left, the comparator warning sounded 9 more times.. The aircraft then banked left progressively and entered a descent until it struck the ground in a 40 degree nose down attitude at a high rate of speed. The pilots did not respond appropriately to the comparator warnings during the climb after takeoff from Stansted despite prompts from the flight engineer. The commander, as the handling pilot, maintained a left roll control input, rolling the aircraft to approximately 90 of left bank and there was no control input to correct the pitch attitude throughout the turn. The first officer either did not monitor the aircraft attitude during the climbing turn or, having done so, did not alert the commander to the extreme unsafe attitude that developed.",1999
1999-12-24,,"Amritsar, India / Kandahar, Afghanistan",Indian Airlines,814,Kathmandu - New Delhi,Airbus A300B2-101,VT-EDW,036,189,174,15,1,0,1,0,"The plane was hijacked and subsequently flown to Amritsar, India, Lahore, Pakistan, al-Minhar Air Base, Dubai and Kandahar, Afghanistan. The hijacking lasted 7 days. One crewmember was killed.",1999
1999-12-25,20:15,"Bejuma, Venezuela",Cubana de Aviacion,310,Havana - Valencia,Yakovlev YAK-42D,CU-T1285,4520424914068,22,12,10,22,12,10,0,"While on approach, after circling for 40 minutes and 5 miles from Valencia Airport,  the aircraft crashed into the Tocuyito mountain range and exploded in flames. The airport at Valencia was being used as operations at Simon Bolivar International Airport, Caracas had been disrupted by flooding in the region.",1999
1999-12-25,15:02,"Near Simara, Nepal",Skyline Airways,,Simara - Kathmandu,de Havilland Canada DHC-6 Twin Otter,9N-AFL,796,10,7,3,10,7,3,0,The aircraft crashed 5 minutes after taking off from Simara.  The aircraft was observed not following the usual route into the mountains.,1999
1999-12-29,,"Near Zonguldak, Turkey",Ecuato Guineana de Aviacion,,"Kiev, Russia - Tehran, Iran",Antonov 28,3C-JJI,,6,4,2,6,4,2,0,While on a positioning flight the aircraft crashed into the Black Sea after stating they were diverting to Ankara Turkey.,1999
2000-01-05,,"Abuja, Nigeria",Skypower Express Airways,,Lagos - Abuja,Embraer 110P1A Bandeirante,5N-AXL,110-455,16,13,3,1,1,0,1,During a visual approach the aircraft stalled and pancaked 400 ft. short of the runway.,2000
2000-01-10,17:54,"Niederhasli, Switzerland",Crossair,498,Zürich - Dresden,Saab 340B,HB-AKK,213,10,7,3,10,7,3,0,"The aircraft crashed shortly after taking off, 8 km from the airport in light rain. After departing, the captain turned the aircraft to the right instead of to the left. The first officer advised the captain he should be turning right and ATC also asked about the direction taken. ATC then cleared the aircraft for a right turn. Soon after, the pitch decreased rapidly accompanied by a marked speed increase and plane entered a high speed, high-rate, spiral descent and crashed into an open field. The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. The first officer made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction. The captain dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. The captain took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation. The first officer took only inadequate measures to prevent or recover from the spiral dive.",2000
2000-01-13,12:38,"Off Marsa el-Brega, Libya",Avisto,,Tripoli IAP - Marsa el-Brega,Shorts 360-300,HB-AAM,SH-3763,41,38,3,22,21,1,0,"The aircraft was on a flight from Tripoli to Marsa el-Brega Libya ferrying oil workers. As the twin engine plane approached Marsa El-Brega, the crew experienced a double engine failure and ditched into the sea. Failure of the crew to use the anti-icing system which led to the ingestion of melting ice into both engines causing failure of both engines.",2000
2000-01-15,13:10,"San Jose, Costa Rica",TACA,,San Jose - Tortuguero,Let 410UVP-E,YS-09-C,861620,20,17,3,5,4,1,0,The aircraft was not able to maintain altitude after taking off and crashed into a house. The aircraft was overloaded. Lack of safety instruction to passengers. Flaps not properly selected. Took off without clearance.,2000
2000-01-30,21:08,"Off Abidjan, Ivory Coast",Kenya Airways,431,Abidjan - Lagos,AirbusA310-304,5Y-BEN,426,179,169,10,169,159,10,0,"The aircraft crashed into the Atlantic Ocean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea.",2000
2000-01-31,16:21,"Off Point Mugu, California",Alaska Airlines,261,Puerto Vallarta - San Francisco,McDonnell Douglas MD-83,N963AS,53077/1995,88,83,5,88,83,5,0,"The aircraft crashed into the Pacific Ocean south of Point Mugu in 650 ft. feet of water while en route from Puerto Vallarta to San Francisco. Radio transmissions from the plane indicated the pilots were struggling with a jammed stabilizer for the last 11 minutes of the flight before nose-diving into the sea. While preparing to make an emergency landing at Los Angeles International Airport control was lost and the MD-83 was seen in a nose-down attitude, spinning and tumbling in a continuous roll, inverted, before it impacted the sea.  Loss of airplane pitch control resulting from in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut thread. The component failed because of excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly. Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's approval of that extension, which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads and Alaska Airlines' extended end play check interval and the FAA's approval of that extension, which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophic effects of total acme nut thread loss. Cynthia Oti, radio financial talk show host, Dean Forshee, guitarist, Jean Gandesberry, columnist, Tom Stockley, columnist were among those killed.",2000
