Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities_Passangers,Fatalities Crew,Ground,Summary,Year
1999-06-09,,"Coron, Philippines",Pacific Airways,,,Britten-Norman BN-2A-21 Islander,RP-C471,473,1,0,1,1,0,1,0,,1999
1999-06-25,13:20,"Long Haul Lake, Manatoba, Canada",Blue Water Aviation Services,,Test flight,de Havilland Canada DHC-3 Otter,C-FIFP,73,2,0,2,1,0,1,0,"During the takeoff the engine failed and the plane crashed into trees. The most likely accident scenario during the second take-off is that water contamination migrated from the center fuel tank to the engine, resulting in a loss of engine power.",1999
1999-07-01,,"Luzamba, Angola",Savanair,,Huambo - Luanda,Antonov 12B,TN-AFR,8345502,5,0,5,1,0,1,0,The cargo plane was shot down by UNITA rebels.,1999
1999-07-07,19:51,"Near Kathmandu, Nepal",Lufthansa Cargo Airlines,8533,Kathmandu - New Delhi,Boeing 727-243F,VT-LCI,22168/1770,5,0,5,5,0,5,0,"The cargo plane crashed into the Champadevi mountains at an altitude of 7,500 ft. The plane was flying too low.  Failure to the adhere to Standard Instrument Departure Procedure by the crew and failure of the controllers to warn the flight.",1999
1999-07-23,11:25,"Tokyo, Japan",All Nippon Airways,61,"Tokyo, Japan - Chitose, Japan",Boeing B-747,JA8966,27442/1066,517,503,14,1,0,1,0,"Two minutes after taking off from Haneda Airport, a man carrying a knife forced a flight attendant to take him in the cockpit of the plane.  A fan of computer flight-simulation games, he stated he just wanted to fly a real plane.  After forcing the co-pilot out of the cockpit he ordered the captain to fly to a U.S. Air Force base in western Tokyo. When he refused, he stabbed the captain and seized the controls. After a sudden drop in altitude, the co-pilot and an off duty crew member entered the cockpit and overpowered the hijacker.  A one point the plane plunged to within 984 feet of the ground. The plane ultimately  landed safely but the captain died of his injuries.",1999
1999-07-23,03:30,"Near Orito, Colombia",Military - U.S. Army,,,de Havilland Canada DHC-7-102,N5382W,95,7,0,7,7,0,7,0,"The plane crashed into Patascoy mountain at 7,000 ft. on a reconnaissance flight over drug producing areas.",1999
1999-09-14,21:20,"Belelm, Brazil",Norte Jet Táxi Aéreo,,Belem - Monte Dourado,Embraer 110 Bandeirante,PT-ODK,110002,2,0,2,2,0,2,0,The cargo plane crashed while on approach.,1999
1999-09-17,,"Mt. Hidalgo, Mexico",Military - Mexican Air Force,,Test flight,Lockheed C-130A Hercules,3610,3217,5,0,5,5,0,5,0,The plane crashed just after maintenance personell replaced parts and were testing the plane.,1999
1999-12-05,05:12,"Moscow, Russia",Tashkent Aircraft Production Corporation,,"Moscow, Russia - Tashkent, Uzbekistan",Ilyushin 114T,UK-91004,1083800305,7,0,7,5,0,5,0,"The cargo plane was taxiing for takeoff when a gust of wind caused the rudder to become fully deflected to the left. The captain continued the takeoff despite suggestions from the crew to return to the gate. Shortly after lifting off the runway the plane yawed to the left and collided with the airport perimeter wall, bursting into flames.",1999
1999-12-22,18:38,"Great Hallingbury, United Kingdom",Korean Air,8509,"London, England - Milan, Italy",Boeing 747-2B5F,HL-7451,22480/448,4,0,4,4,0,4,0,"Shortly after taking off the ADI comparator alarm sounded three times. Shortly afterwards, the warning sounded a further two times. As the captain initiated a procedural turn to the left, the comparator warning sounded 9 more times.. The aircraft then banked left progressively and entered a descent until it struck the ground in a 40 degree nose down attitude at a high rate of speed. The pilots did not respond appropriately to the comparator warnings during the climb after takeoff from Stansted despite prompts from the flight engineer. The commander, as the handling pilot, maintained a left roll control input, rolling the aircraft to approximately 90 of left bank and there was no control input to correct the pitch attitude throughout the turn. The first officer either did not monitor the aircraft attitude during the climbing turn or, having done so, did not alert the commander to the extreme unsafe attitude that developed.",1999
1999-12-24,,"Amritsar, India / Kandahar, Afghanistan",Indian Airlines,814,Kathmandu - New Delhi,Airbus A300B2-101,VT-EDW,036,189,174,15,1,0,1,0,"The plane was hijacked and subsequently flown to Amritsar, India, Lahore, Pakistan, al-Minhar Air Base, Dubai and Kandahar, Afghanistan. The hijacking lasted 7 days. One crewmember was killed.",1999
2000-02-02,,"Tehran, Iran",Military - Islamic Republic of Iran Air Force,,Training,Lockheed C-130 Hercules,,,8,NULL,NULL,8,0,NULL,0,Crashed on take off.,2000
2000-02-16,19:50,"Sacramento, California",Emery Worldwide,17,"Sacramento, CA - Dayton, OH",McDonnell Douglas DC-8-71F,N8079U,45947/341,3,0,3,3,0,3,0,The cargo plane lost altitude after taking off and crashed into a auto salvage yard and burned. A loss of pitch control resulting from the disconnection of the right elevator control tab. The disconnection was caused by the failure to properly secure and inspect the attachment bolt.,2000
2000-03-05,18:11,"Burbank, Calilfornia",Southwest Airlines,1455,Las Vegas - Burbank,Boeing B-737-3T5,N668SW,23060/1069,142,137,5,0,0,0,0,"While attempting to land at Burbank Airport, the plane overran the runway, collided with a metal blast fence and an airport perimeter wall and came to rest on a city street near a gas station. The plane touched down at 182 knots, 2,150 feet past the runway threshold, too fast and too far down the runway for the plane to stop in time.  In the accident sequence,  the nose gear collapsed, the forward service door (1R) escape slide inflated inside the airplane and  the forward dual flight attendant jumpseat, which was occupied by two flight attendants, partially collapsed. Two passengers sustained serious injuries and 41 passengers and the captain sustained minor injuries. The flightcrew's excessive airspeed and flight path angle during the approach and landing and its failure to abort the approach when stabilized approach criteria were not met. Contributing to the accident was the controller's positioning of the airplane in such a manner as to leave no safe options for the flightcrew other than a go-around maneuver.",2000
2000-03-17,12:31,"Ennadai Lake, Canada",Points North Air Services,,"Points North Landing, SK - Ennadai Lake",Douglas C-47A-5-DK,C-FNTF,12344,2,0,2,2,0,2,0,"After lifting off the cargo plane entered a steep, nose-up attitude, banked to the left, and crashed. The pilot lost control of the aircraft while conducting a go-around from a aborted landing on the ice strip.  The aircraft's center of gravity on the accident flight was beyond the aft C of G limit. The crew did not recalculate the aircraft's weight and balance for the second flight. Leaks in the heater shroud allowed carbon monoxide gas to contaminate cockpit and cabin air.",2000
2000-03-22,17:45,"Herreira, Spain",Military - Ejército del Aire,,Sevilla - Herreira,CASA 212-DE Aviocar 200,TM-12D-73,314,7,0,7,7,0,7,0,Crashed while attempting to land in poor weather.,2000
2000-03-24,18:04,"Kadirana, Sri Lanka",Sky Cabs,,Bangkok - Colombo,Antonov AN-12 (freighter),RA-11302,8346004,8,0,8,6,0,6,2,"The pilot -in-command made two requests to land because he was low on fuel. While attempting to land, he ran out of fuel and crashed short of the runway. The Cargo plane broke into four parts and crashed into houses.",2000
2000-04-05,09:30,"Marianna, Florida",Bankair,,Opa-Locka - Marianna,Learjet 35A,N86BE,35-194,3,0,3,3,0,3,0,"While on finals the training flight pitched up, the right wing dropped, and the airplane struck trees, struck wires, caught fire on a road. The pilot's failure to maintain control of the airplane while on final approach resulting in the airplane striking trees. Factors in this accident were: improper planning of the approach, and not obtaining the proper alignment with the runway.",2000
2000-05-02,14:39,"Lyon Satolas, France",Northern Executive Aviation,4B,,Learjet 35A,G-MURI,35-646,5,3,2,2,0,2,0,"During a landing attempt the crew shut down No. 1 engine and declared an emergency. The plane was told to divert to Lyon Satolas. Power was applied to the remaining engine and the plane banked to the left causing the wing to touch the ground, crash and catch fire. Loss of yaw and roll control which appears to be due to the failure to monitor flight symmetry at the time of the thrust increase on the right engine.",2000
2000-05-03,,"Kurupung, Guyana",Trans Guyana Airways,,,Britten-Norman BN-2A-9 Islander,8R-GAC,694,1,0,1,1,0,1,0,The cargo plane crashed into a cloud covered mountain.,2000
2000-06-27,,"Off Shimano, Japan",Military - Japanese Air Self-Defence Force,,Training,Kawasaki C-1A,88-1027,8027,5,0,5,5,0,5,0,Crashed into the sea during a test flight.,2000
2000-07-13,00:34,"Raleigh, North Carolina",Win Win Aviation,,"Hinckley, IL - Louisburg, NC",de Havilland Canada DHC-6 Twin Otter 200,N201RH,163,3,2,1,1,0,1,0,"The plane, on a positioning flight crashed into rugged woods during an approach to land. The pilot's continued VFR flight into IMC conditions, by failing to maintain altitude, and descending from VFR conditions into IMC, which resulted in him subsequently impacting with trees. Factors in this accident were: reduced visibility due to dark night and fog. An additional factor was the pilot was not certified for instrument flight.",2000
2000-07-19,00:30,"Linneus, Maine",Airwave Transport,9807,Moncton - Montreal,Grumman G-159 Gulfstream I,C-GNAK,154,2,0,2,2,0,2,0,"After declaring an emergency the cargo plane crew requested the nearest airport. The aircraft soon after descended out of control and crashed on the eastern side of the Meduxnekeag River. The pilot-in-command's failure to maintain minimum control airspeed, which resulted in a loss of control. Factors in this accident were clouds, and a loss of engine power for undetermined reasons, while in cruise flight above the airplane's single engine service ceiling.",2000
2000-07-20,13:12,"Nassau, Bahamas",Allied Air Freight,,Nassau - Freeport,Douglas C-47A-10-DK,N54AA,12475,2,0,2,2,0,2,0,The cargo plane lost an engine on takeoff lost altitude and crashed 2 miles east of the airport.,2000
2000-07-26,06:00,"Mafraq, Jordan",Military - Royal Jordanian Air Force,,,Lockheed C-130H Hercules,348,4073,13,NULL,NULL,13,0,NULL,0,Crashed on a training flight.,2000
2000-09-02,,"Mount Montezuma, Colombia",Military - Fuerza Aérea Colombiana,,,Douglas C-47,FAC1659,32984,7,0,7,7,0,7,0,Flew into Mt. Montezuma.,2000
2000-10-06,16:55,"Reynosa, Mexico",Aeromexico,250,Mexico City - Reynosa - Matamoros,McDonnell Douglas DC-9-31,N936ML,47501/571,88,83,5,0,0,0,4,"The aircraft overshot the runway near Reynosa, Mexico and crashed into vehicles and houses coming to rest in a canal. The accident happened during a heavy rainstorm. The lights at the airport were out due to the storm and contact with the tower was lost. No passengers were killed aboard the aircraft but four people were killed on the ground.",2000
2000-10-10,14:52,"Wichita, Kansas",Bombardier Aerospace,,Test flight,Canadair CL-600-2B16 Challenger 604,C-FTBZ,5991,3,0,3,2,0,2,0,"The cause of this accident was the pilot's excessive takeoff rotation, during an aft center of gravity takeoff, a rearward migration of fuel during acceleration and takeoff and consequent shift in the airplane's aft c.g. to aft of the aft c.g. limit, which caused the airplane to stall at an altitude too low for recovery. Contributing to the accident were Bombardier's inadequate flight planning procedures for the Challenger flight test program and the lack of direct, on-site operational oversight by Transport Canada and the Federal Aviation Administration.",2000
2000-11-09,01:23,"Fort Wayne, Indiana",Superior Aviation,,"Fort Wayne, IN - Milwaukee, WI",Swearingen SA.226TC Metro II,N731AC,TC-255,1,0,1,1,0,1,0,"During takeoff, the cargo plane struck trees, crashed and caught fire. The indicated failure of the right hand AC bus during takeoff with low ceiling. The factors were the low ceiling, night, and the execssive workload the pilot experienced on takeoff with an electrical failure without a second in command.",2000
2000-11-20,12:22,"Miami, Florida",American Airlines,,"Miami, FL - Port au Prince",Airbus A300-600R,N14056,463,114,105,9,1,0,1,0,"After climbing through 16,000 ft. the crew descovered cabin pressure could not be maintained and returned to the airport.  After landing the ram air switch failed to depressurize the aircraft. Moments later the left foreward door exploded open ejecting a flight attendant onto the tarmac.",2000
2001-01-04,,"Zheng Zou AB, China",Military - People's Liberation Army,,Training,Shaanxi Yunshuji Y-8/Yunshuji Y-8,31242/31243,,16,0,16,16,0,16,6,Two Antonov 12 planes collided in midair killing all aboard and 6 on the ground.,2001
2001-01-08,,"Near Silimo, Indonesia",Military - Tentara Nasional Indonesia Navy,,Timika - Jayapura,CASA 212-MP Aviocar 200,U-614,223/63N,9,0,9,9,0,9,0,"Struck Timika Peak at 11,800 ft. shortly after taking off. Controlled flight into terrain.",2001
2001-01-23,21:35,"Eider Point, Alaska",Majestic Air Cargo,,,Douglas C-47A-30-DK (DC-3C),N19454,13863,2,0,2,2,0,2,0,"The cargo plane crashed on Table Top Mountain while en route. The airplane flightcrew's failure to maintain adequate distance/altitude from mountainous terrain during a departure climb to cruise flight, and the captain's impairment from drugs. Factors in the accident were dark night conditions, and the first officer's impairment from drugs.",2001
2001-02-08,19:20,"Beaver Island, Minnesota",Northern Illinois Flight Center,,Chicago - Beaver Island,Swearingen SA.227AT Merlin IVC,N318DH,AT-469,6,4,2,2,0,2,0,"Impacted trees and crashed while attempting to land. The flightcrew not maintaining altitude/clearance during the circling instrument approach. Factors were the pilot in command initiating the flight without proper weather reporting facilities at the destination, the flightcrew not flying to an alternate destination, the flightcrew not following company and FAA procedures/directives, the lack of certification of the second pilot, the operator not following company and FAA procedures/directives, and the dark night and the low ceiling.",2001
2001-02-27,17:30,"Near Granton Harbour, Scotland",Loganair,670,Edinburgh - Belfast,Shorts 360-100,G-BNMT,SH3723,2,0,2,2,0,2,0,Double engine failure on take off cause the cargo plane to ditch in Firth of the Forth estuary. Icing.,2001
2001-03-03,14:48,"Bangkok, Thailand",Thai Airways,114,Bangkok - Chiang Mai.,Boeing B-737-4D7,HS-TDC,25321/2113,5,0,5,1,0,1,0,"The aircraft exploded and caught fire 35 minutes before its scheduled takeoff. Five members of the cabin crew were the only people aboard the plane at the time. Witnesses said they heard an explosion before flames erupted aboard the aircraft. NTSB investigators reported that the center fuel tank exploded followed by the right tank 18 minutes later. The cause for the explosion was unclear. The center fuel tank is located near air conditioning packs which generate heat, and were running nonstop prior to the explosion.",2001
2001-03-26,18:25,"Jadura, Indonesia",Merpati Nusantara Airlines,,Training,Fokker F-27 Friendship 500F,PK-MFL,10609,3,0,3,3,0,3,0,"While approaching Juanda for the 8th touch-and-go landing the aircraft banked to the left, crashed and caught fire.",2001
2001-04-04,,"Adar Yeil, Sudan",Military - Sudan Air Force,,Adar Yeil - Khartoum,Antonov AN-24,,,30,NULL,NULL,14,0,NULL,0,"The aircraft crashed on takeoff during a sandstorm, killing Sudan's deputy defense minister and 13 high-ranking military officers.",2001
2001-05-17,12:21,"Mendoza, Argentina",Fuerza Aérea Argentina,,Mendoza - Parana,Fokker F-27 Friendship 400M,TC-76,10412,5,0,5,5,0,5,0,Shortly after taking off the plane veered to the right and crashed into a field. Engine failure.,2001
2001-05-22,16:35,"Near Myakotino, Russia",Military - Russian Air Force,,Rzhevsk - Morsansk,Antonov 12MGA,RA-12135,00347002,7,0,7,7,0,7,0,Crashed while en route.,2001
2001-07-14,08:53,"Near Moscow, Russia",Russ Air Transport Company,,Moscow - Norilsk,Ilyushin IL-76,RA-76588,0043451530,10,0,10,10,0,10,0,"The cargo plane was taking off from Chkalovsky Airport with a load of construction material and cosmetics. After reaching a height of 150 feet, the plane the crashed and burned 1,600 feet past the end of the runway.  The plane was overloaded by 15 tones.",2001
2001-08-24,05:42,"Ithaca, New York",Ameristar Jet Charter,,"Ithaca, NY - Jackson, MI",Learjet 25,N153TW,25-053,2,0,2,2,0,2,0,"Shortly after taking off the cargo plane crashed into a wooded area about one-half mile from the runway. The pilot's failure to maintain a proper climb rate while taking off at night, which was a result of spatial disorientation. Factors in the accident were the low visibility and cloud conditions, and the dark night.",2001
2001-08-24,18:46,"Lajes, Terceira, Azores",Air Transat,236,Toronto - Lisbon,Airbus A-330-243,C-GITS,0271,304,291,13,0,0,0,0,"The crew reported that they had a loss of fuel and were going to have to divert to Lajes AFB. Shortly thereafter, they said that they only had five minutes of fuel and probably would not reach Lajes. The Airbus 330, without engine power, glided for almost 20 minutes, descending from for more than 30,000 ft. before landing safely at Lajes Airport. Several tires blew out causing a fire which was quickly extinguished by emergency crews.  Eleven passengers were slightly injured. The leak was caused by a damaged fuel feed pipe that was caused by interference from the aft hydraulic pump. Mechanics did not completely follow a Rolls-Royce service bulletin. In addition, software mistakenly identified the  fuel leak as a fuel imbalance, prompting the crew to respond erroneously to the situation. The official report stated the cause was the pilots responded incorrectly to the fuel leak.  The pilots acted from memory rather than utilizing a checklist, so they never saw a ""Caution"" note in the Fuel Imbalance checklist that might have caused them to consider that the real problem was not an imbalance but a fuel leak.",2001
2001-10-11,23:35,"Shamattawa, Canada",Perimeter Airlines,,Gods Narrows - Shamattawa,Swearingen SA.226TC Metro I,C-GYPA,TC-250,3,1,2,2,0,2,0,"The air ambulance was flown into terrain during an overshoot because the required climb angle was not set and maintained to ensure a positive rate of climb. During the go-around, conditions were present for somatogravic illusion, which most likely led to the captain losing situational awareness.",2001
2001-11-22,13:05,"Pittsburgh, Pennsylvania",Universal Jet Aviation,,"Pittsburgh, PA - Baca Raton, Fl",Learjet 25B,N5UJ,25-088,2,0,2,2,0,2,0,"The cargo plane was not able to gain altitude, veered off the runway and crashed. The (undetermined) pilot-at-the-controls' early, and over rotation of the airplane's nose during the takeoff attempt, and his failure to maintain directional control. Also causal, was the captain's inadequate remedial action, both during the takeoff attempt and after the airplane departed the runway.",2001
2001-11-27,01:56,"Port Harcourt, Nigeria",MK Airlines,,Luxembourg - Port Harcourt,Boeing 747-246F,9G-MKI,22063/432,13,0,13,1,0,1,0,"The cargo plane contacted the ground 700 meters short of the runway, broke in two and burned.",2001
2002-01-09,,"Shamsi AFB, Pakistan",Military - U.S. Air Force,,Jacobabad - Shamsi,Lockheed Hercules KC-130R,160021,4702,7,0,7,7,0,7,0,While on approach the aircraft struck a hill a few hundred feet short of runway in poor weather.,2002
2002-01-14,07:28,"Bilbao, Spain",Ibertrans Aérea,1278,Madrid - Bilbao,Embraer EMB-120 Brasilia,EC-GTJ,120-024,3,0,3,3,0,3,0,"While descending, the cargo plane struck Mount Santa Maria Vieja, 35 km from the airport in fog and poor visibility.",2002
2002-01-16,16:29,"Near Solo, Indonesia",Garuda Indonesia Airlines,421,Mataram - Yogyakarta - Jakarta,Boeing B-737-3Q8,PK-GWA,24403/1706,62,54,8,1,0,1,0,"The aircraft suffered a flame out of both engines in torrential rains while on approach  to Yogyakarta. The crew made an emergency landing in the Bengawan Solo River, in shallow water. The plane circled several times before diving in a steep course towards the river. The plane's left wing struck a river bank before it plunged into the water. The reason the crew flew into extreme weather was the heavy rain and hail was shadowed on the radar and blocked from radar view. In addition, the airplane had a partially failed battery which was exhausted by two attempts to restart the engines, producing a total electrical failure. A flight attendant drowned in the shallow water when she jumped from the plane.",2002
2002-02-15,06:08,"Monrovia, Liberia",Tiramavia,,,Antonov 12BP,ER-ADL,4342610,10,3,7,1,0,1,0,The cargo plane crashed while attempting to make an emergency landing.,2002
2002-03-17,08:02,"Off Djibouti, Republic of Djibouti",Djibouti Airlines,,"Mogadishu, Somalia - Djibouti",Let 410UVP-E,J2-KBC,912537,4,0,4,4,0,4,0,The cargo plane crashed into the ocean while on approach to Runway 27.,2002
2002-04-12,04:07,"Palma de Mallorca, Spain",Tadair,306,Madrid - Palma de Mallorca,Swearingen SA.227AC Metro III,EC-GKR,AC-620,2,0,2,2,0,2,0,The cargo plane crashed into lights near the runway threshold while attempting to land on Runway 24L.,2002
2002-05-21,19:30,"Near Calabar, Nigeria",Sky Executive Air Services,,Port Harcourt - Calabar,LET 410UVP,9Q-CEX,851402,5,0,5,5,0,5,0,"The plane crashed approximately 12 miles from Calabar while attempting to land. All passengers departed at Port Harcourt and only a crew of 5 was aboard. The premature departure of the plane from the normal minimum safe altitude of 2,500 ft. without air traffic controller's clearance until it flew into the terrain. Other contributing factors were the emergence of electrical problem on the aircraft at the commencement of the approach which might have distracted the  pilot  and unfavorable weather conditions of low ceiling and thunderstorms which impaired visibility at the critical time of descent.",2002
2002-06-12,21:24,"Near Gardez, Afghanistan",Military - U.S. Air Force,,,Lockheed MC-130H Hercules,84-0475,5041,10,2,8,3,0,3,0,While participating in a night mission to remove U.S. Special Forces troops the plane crashed 2.5 miles from the airstrip. Overloaded. The excessive cargo weight loaded on the aircraft at the Band E Sardeh Dam landing zone.,2002
2002-07-27,12:45,"Lviv, Ukraine",Military - Ukraine Air Force,,,Sukhoi Su-27,42,,2,0,2,0,0,0,85,The Su-76 was performing aerobatics when it crashed into crowd of spectators at an air show at Skniliv Airport in the Ukraine. The aircraft had just performed a steep turn when it appeared to tumble and enter a steep dive from which it failed to recover. The two pilots parachuted to safety.  Pilot error. The pilots ignored their flight plans and performed untried and complicated maneuvers which led to a loss of control. Both received a jail sentence of 14 years.,2002
2002-07-28,15:25,"Moscow, Russia",Pulkovo Aviation Enterprise,,Moscow - St. Petersburgh,Iluyshin Il-86,RA-86060,51483203027,16,0,16,14,0,14,0,"A Russian passenger airliner on a training flight crashed shortly after takeoff from Moscow's Sheremetyevo Airport. After reaching an altitude of about 600 ft., the plane banked hard left, hit the ground and exploded. Sixteen of 18 crewmembers aboard were killed. Two flight attendants survived. Investigation revealed that the stabilizer spontaneously shifted to the full down position two seconds after takeoff. Six seconds after the shift, the captain tried to compensate by thrusting the control stick forward as far as possible, but was unable to regain control of the aircraft.",2002
2002-08-15,12:35,"Kadjuduwa Watta, Sri Lanka",Military - Sri Lanka Air Force,,,Yunshuji Y-8D,CR-873,070802,5,0,5,5,0,5,0,"The military plane developed engine trouble while en route, tried to return to the airport but crashed into a paddy field and was destroyed.",2002
2002-09-14,,"Paranapanema, Sao Paulo, Brazil",Total  Air Lines,,Guarulhos - Londrina,ATR 42-300,PT-MTS,026,2,0,2,2,0,2,0,"One hour after the takeoff , the the plane disappeared of  Curitiba  ATC. The wreckage was found on a farm, around a crater. Unknown cause.",2002
2002-10-01,,"Vasco, India",Military - Indian Navy,,Military exercises,Ilyushin IL-38 / Ilyushin IL-38,IN302 / IN304,IL38002/IL38004,12,0,12,12,0,12,5,"The two Navy aircraft flying in formation in a military flyby, crashed, after their wings collided. One plane crashed into a house under construction while the other crashed onto a field next to a highway. Six crew members on each plane were killed along with 5 on the ground.",2002
2002-11-08,14:58,"Taos, New Mexico",Richmor Aviation,,"Las Vegas, NV - Taos, NM",IAI 1124A Westwind,N61RS,384,2,0,2,2,0,2,0,"While on a positioning flight the plane entered an uncontrolled descent and crashed. The pilot's inadvertent flight into mountain wave weather conditions while IMC, resulting in a loss of aircraft control.",2002
2002-11-28,14:15,"Masai Mara Game Reserve, Kenya",Eagle Aviation,-,Ol Kiombo - Mombasa,Let 410UVP-E20,5Y-ONT,871812,20,18,2,1,0,1,0,The plane crashed after developing engine trouble while flying from one airstrip to another in the Masai Mara National Reserve. The copilot was the only fatality.,2002
2002-12-17,22:51,"Rockford, Illinois",Planemasters,1627,Decatur - Rockford,Cessna 208B Caravan I Super Cargomaster,N277PM,208B-0143,1,0,1,1,0,1,0,"While attempting to land, the cargo plane struck trees and crashed into a field. The pilot's failure to maintain control of the airplane during the ILS approach. Factors associated with the accident were the low ceilings, high winds, crosswind, and wind shear conditions that existed.",2002
2002-12-21,01:52,"Off Pachao Tao, Taiwan",Transasia Airways,791,Taipei - Macau,Aérospatiale/Aeritalia ATR-72-202,B-22708,322,2,0,2,2,0,2,0,While en route the stall warning sounded and the stick shaker activated. The crew of the cargo plane disconnected the autopilot and tried to gain control of the plane. The plane began to descend from FL170 until it impacted the ocean.,2002
2003-02-07,,"Near Agadir, Morocco",Volare Aviation Enterprise,,Agadir - Algiers,Antonov 12BP,UR-LIP,9346405,8,0,8,8,0,8,0,"Crashed in the Atlas mountain range at 9,900 feet while en route.",2003
2003-02-10,19:42,"Tallinn, Estonia",Enimex,827,Tallinn - Helsinki,Antonov AN-28,ES-NOY,1AJ006-04,3,0,3,2,0,2,0,"Shortly after takeoff, the aircraft stalled, crashed and burst into flames in a wooded area. Engine failure.",2003
2003-05-08,,"Near Kinshasa, Congo",Ukrainian Cargo Airlines -  Congolese Army Charter,,Kinshasa - Lubumbashi,Illyushin 76,UR-UCB,0063467003,200,NULL,NULL,129,0,NULL,0,"A large number of military personnel and their family members were sucked out of the plane after the aircraft's back ramp accidentally dropped open in flight. The ramp opened as the pressure system broke down. The crew managed to control the plane and turn it around and land at Kinshasa airport following the accident, which took place 45 minutes into the flight. There is a wide discrepancy in the number killed ranging from 0 to 250.",2003
2003-06-01,15:26,"Milan, Italy",Eurojet Italila,,Milan - Genoa - Farnborough,Gates Learjet 45,I-ERJC,45-093,2,0,2,2,0,2,0,Shortly after taking off the jet nosed into the ground. Malfunction of the trim tab system.,2003
2003-06-22,23:55,"Near Brest, France",Brit Air,5672,Nantes - Brest,Canadair CRJ-100ER,F-GRJS,7377,24,21,3,1,0,1,0,"The aircraft crashed onto a road and caught fire 1 km from Brest-Guipavas Airport in France's Brittany region, killing the pilot and injuring three others. There were thunderstorms in the area with 800 meters visibility at the time the accident took place.",2003
